SN,Continent,Country,Location_Name,Location_Code,Cluster_Name,Cluster_Code,Plot_ Name,Plot_ Code,Minumum_Plot_Dimention (m),Maximum_Plot_Dimention (m),Total_Plot_Edge (m),Census_Date,PI,Latitude (plot),Longitude (plot),x (plot),y (plot),Tag_No,Family,Original_Identification,Genus,Species,Species_Code,Edibility_Category,x (tree),y (tree),Elevation (m),Dimater (cm),Plot_Comments 
298,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 1,L2P1,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456351.97,598994.4,297,Ebenaceae,Diospyros mespiliformis,Diospyros,Diospyros mespiliformis,DIME,Inedible,456296,598966,188,25,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
299,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,298,Meliaceae,Carapa procera,Carapa,Carapa procera,CAPR,Inedible,456279,599153,194,11,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
300,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,299,Rubiaceae,Portheranda cladanthia,Porterandia,Porterandia cladantha,POCL,Inedible,456290,599146,191,18,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
301,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,300,Fabaceae,Dialium guinensis,Dialium,Dialium guineense,DIGU,Edible,456288,599149,191,65,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
302,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,301,Olacaceae,Caula edulis,Caula,Caula edulis,CAED,Edible,456286,599152,193,17,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
303,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,302,Ebenaceae,Diospyros zenkeri,Diospyros,Diospyros zenkeri,DIZE,Inedible,456285,599153,192,19,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
304,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,303,Olacaceae,Octoknemia affine,Octoknema,Octoknema affinis,OCAF,Inedible,456288,599150,192,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
305,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,304,Meliaceae,Carapa procera,Carapa,Carapa procera,CAPR,Inedible,456292,599149,192,12,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
306,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,305,Malvaceae,Cola digitata,Cola,Cola digitata,CODI,Edible,456295,599148,193,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
307,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,306,Myristicaceae,Pycnanthus angolensis,Pycnanthus,Pycnanthus angolensis,PYAN,Edible,456295,599152,194,46,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
308,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,307,Olacaceae,Strombosia pustulata,Strombosia,Strombosia pustulata,STPU,Inedible,456296,599145,193,11,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
309,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,308,Phyllanthaceae,Maesobotrya barteri,Maesobotrya,Maesobotrya barteri,MABA,Edible,456297,599142,191,17,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
310,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,309,Apocynaceae,Alstonia boonei,Alstonia,Alstonia boonei,ALBO,Inedible,456295,599139,191,14,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
311,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,310,Olacaceae,Octoknemia affine,Octoknema,Octoknema affinis,OCAF,Inedible,456297,599141,191,13,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
312,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,311,Moraceae,Trilipisium madagascariensis,Trilepisium,Trilepisium madagascariense,TRMA,Inedible,456288,599145,191,12,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
313,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,312,Phyllanthaceae,Uapaca heudelotii,Uapaca,Uapaca heudelotii,UAHE,Edible,456289,599143,191,55,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
314,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,313,Malvaceae,Cola digitata,Cola,Cola digitata,CODI,Edible,456286,599141,191,12,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
315,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,314,Phyllanthaceae,Uapaca heudelotii,Uapaca,Uapaca heudelotii,UAHE,Edible,456281,599144,190,24,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
316,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,315,Putranjivaceae,Drypetes dewildei,Drypetes,Drypetes gossweileri,DRGO,Inedible,456277,599142,189,21,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
317,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,316,Olacaceae,Octoknemia affine,Octoknema,Octoknema affinis,OCAF,Inedible,456281,599138,187,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
318,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,317,Meliaceae,Guara thompsonii,Guarea,Guarea thompsonii,GUTH,Inedible,456283,599139,187,16,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
319,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,318,Moraceae,Trilipisium madagascariensis,Trilepisium,Trilepisium madagascariense,TRMA,Inedible,456282,599139,187,11,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
320,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,319,Fabaceae,Millittia grifforniana,Millettia,Millettia grifforniana,MIGR,Inedible,456288,599137,184,20,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
321,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,320,Fabaceae,Angiocalyx oligapholus,Angylocalyx,Angylocalyx oligophyllus,ANOL,Edible,456291,599133,182,17,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
322,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,321,Annonaceae,Uvariopsis dioica,Uvariopsis,Uvariopsis dioica,UVDI,Inedible,456288,599132,183,12,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
323,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,322,Meliaceae,Lovoa trichilioides,Lovoa,Lovoa trichilioides,LOTR,Inedible,456291,599133,182,15,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
324,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,323,Annonaceae,Uvariodendron calophylum,Uvariodendron,Uvariodendron calophyllum,UVCA,Inedible,456297,599133,183,30,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
325,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,324,Annonaceae,Uvariopsis bakeriana,Uvariopsis,Uvariopsis bakeriana,UVBA,Inedible,456299,599134,182,11,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
326,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,325,Olacaceae,Strombosia pustulata,Strombosia,Strombosia pustulata,STPU,Inedible,456299,599135,181,23,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
327,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,326,Olacaceae,Strombosia pustulata,Strombosia,Strombosia pustulata,STPU,Inedible,456299,599136,181,11,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
328,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,327,Sapotaceae,Omphalocarpum elatum,Omphalocarpum,Omphalocarpum elatum,OMEL,Inedible,456296,599135,181,66,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
329,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,328,Piptostigmateae,Piptostigma pilosum,Piptostigma,Piptostigma pilosum,PIPI,Inedible,456294,599128,179,21,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
330,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,329,Annonaceae,Isolona campanulata,Isolona,Isolona campanulata,ISCA,Inedible,456300,599123,176,13,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
331,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,330,Rubiaceae,Rothmannia hispida,Rothmannia,Rothmannia hispida,ROHI,Inedible,456302,599122,173,13,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
332,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,331,Moraceae,Trilipisium madagascariensis,Trilepisium,Trilepisium madagascariense,TRMA,Inedible,456300,599120,174,11,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
333,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,332,Simaroubaceae,Honnoa klianiana,Hannoa,Hannoa klaineana,HAKL,Inedible,456301,599116,174,39,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
334,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,333,Sapotaceae,Omphalocarpum procerum,Omphalocarpum,Omphalocarpum procerum,OMPR,Inedible,456301,599118,175,43,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
335,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,334,Olacaceae,Octoknemia affine,Octoknema,Octoknema affinis,OCAF,Inedible,456301,599117,174,14,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
336,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,335,Annonaceae,Isolona hexaloba,Isolona,Isolona hexaloba,ISHE,Inedible,456293,599132,178,29,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
337,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,336,Phyllanthaceae,Maesobotrya barteri,Maesobotrya,Maesobotrya barteri,MABA,Edible,456295,599116,178,16,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
338,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,337,Urticaceae,Musanga cecropioides,Musanga,Musanga cecropioides,MUCE,Inedible,456298,599133,180,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
339,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,338,Annonaceae,Isolona hexaloba,Isolona,Isolona hexaloba,ISHE,Inedible,456291,599122,183,19,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
340,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,339,Myrtaceae,Ouretea calophylla,Ouratea,Ouratea calophylla,OUCA,Inedible,456289,599127,186,64,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
341,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,340,Ebenaceae,Diospyros mespiliformis,Diospyros,Diospyros mespiliformis,DIME,Inedible,456274,599120,184,38,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
342,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,341,Annonaceae,Anonidium mannii,Anonidium,Anonidium mannii,ANMA,Inedible,456281,599120,183,28,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
343,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,342,Mimosaceae,Calpocalyx vebratus,Calpocalyx,Calpocalyx brevibracteatus,CABR,Inedible,456279,599115,181,12,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
344,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,343,Lauraceae,Hypodaphnis zenkeri,Hypodaphnis,Hypodaphnis zenkeri,HYZE,Inedible,456285,599117,180,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
345,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,344,Phyllanthaceae,Uapaca heudelotii,Uapaca,Uapaca heudelotii,UAHE,Edible,456289,599119,179,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
346,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,345,Urticaceae,Musanga cecropioides,Musanga,Musanga cecropioides,MUCE,Inedible,456297,599131,180,15,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
347,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,346,Phyllanthaceae,Maesobotrya barteri,Maesobotrya,Maesobotrya barteri,MABA,Edible,456311,599115,177,24,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
348,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,347,Rubiaceae,Corynanthes pachycera,Corynanthe,Corynanthe pachyceras,COPA,Inedible,456319,599115,178,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
349,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,348,Phyllanthaceae,Maesobotrya dunsenii,Maesobotrya,Maesobotrya dusenii,MADU,Edible,456311,599118,180,17,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
350,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,349,Euphorbiaceae,Ricinodendron heudelotii,Ricinodendron,Ricinodendron heudelotii,RIHE,Inedible,456314,599118,181,19,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
351,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,350,Euphorbiaceae,Ricinodendron heudelotii,Ricinodendron,Ricinodendron heudelotii,RIHE,Inedible,456314,599118,181,35,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
352,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,351,Euphorbiaceae,Ricinodendron heudelotii,Ricinodendron,Ricinodendron heudelotii,RIHE,Inedible,456314,599118,181,44,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
353,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,352,Euphorbiaceae,Ricinodendron heudelotii,Ricinodendron,Ricinodendron heudelotii,RIHE,Inedible,456314,599118,181,66,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
354,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,353,Euphorbiaceae,Ricinodendron heudelotii,Ricinodendron,Ricinodendron heudelotii,RIHE,Inedible,456314,599116,182,15,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
355,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,354,Fabaceae,Angiocalyx oligapholus,Angylocalyx,Angylocalyx oligophyllus,ANOL,Edible,456316,599118,183,22,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
356,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,355,Fabaceae,Amphimas ptericarpoides,Amphimas,Amphimas pterocarpoides,AMPT,Inedible,456316,599123,184,19,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
357,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,356,Malvaceae,Cola rostrata,Cola,Cola rostrata,CORO,Edible,456318,599112,184,11,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
358,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,357,Olacaceae,Octoknemia affine,Octoknema,Octoknema affinis,OCAF,Inedible,456310,599113,182,37,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
359,Africa,Nigeria,"Aking in Oban Sector, Cross River National Park",ANP-01,Aking Location 1,AKG-01,Aking Location 1 Plot 2,L2P2,40,40,160,28/08/2019,Sijeh Asuk,5.42,8.61,456241.25,599105.01,358,Araliaceae,Cussonia barteri,Cussonia,Cussonia barteri,CUBA,Inedible,456303,599132,185,10,This plot is about 60 minutes walk from the main road. The point of entry from the road is abour 5 minutes drive from the National Park Ranger post in Aking
